amfi_code,annual_return,annual_volatility,sharpe_ratio,scheme_name
100016,0.0357,0.1455,-0.2015,HDFC Top 100 Fund - Regular Plan - Growth
100025,0.0429,0.0391,-0.5671,HDFC Short Term Debt Fund - Regular - Growth
100033,0.2721,0.1894,1.0937,HDFC Mid-Cap Opportunities Fund - Regular - Growth
101206,0.2146,0.1457,1.0272,ABSL Frontline Equity Fund - Regular - Growth
101207,0.107,0.258,0.1627,ABSL Small Cap Fund - Regular - Growth
101208,0.0609,0.0051,-0.8156,ABSL Liquid Fund - Regular - Growth
102885,0.1699,0.1284,0.8171,UTI Nifty 50 Index Fund - Regular - Growth
102886,0.0277,0.1813,-0.2058,UTI Mid Cap Fund - Regular - Growth
102887,0.1626,0.1576,0.6195,UTI Flexi Cap Fund - Regular - Growth
118632,0.218,0.1415,1.0817,Nippon India Large Cap Fund - Regular - Growth
118633,0.1553,0.14,0.6452,Nippon India Large Cap Fund - Direct - Growth
118634,0.1782,0.2524,0.4484,Nippon India Small Cap Fund - Regular - Growth
118635,0.1513,0.1298,0.6649,Nippon India ETF Nifty 50 BeES
118636,0.0508,0.0399,-0.3566,Nippon India Gilt Securities Fund - Regular - Growth
119092,0.0693,0.1395,0.0308,Axis Bluechip Fund - Regular - Growth
119093,0.0831,0.1398,0.1296,Axis Bluechip Fund - Direct - Growth
119094,0.2587,0.1941,0.9982,Axis Midcap Fund - Regular - Growth
119095,0.046,0.2507,-0.076,Axis Small Cap Fund - Regular - Growth
119120,0.056,0.0397,-0.2266,SBI Magnum Gilt Fund - Regular Plan - Growth
119551,0.231,0.1374,1.2083,SBI Bluechip Fund - Regular Plan - Growth
119552,0.1979,0.1394,0.9533,SBI Bluechip Fund - Direct Plan - Growth
119598,0.3027,0.2514,0.9453,SBI Small Cap Fund - Regular Plan - Growth
119599,0.0507,0.2495,-0.0572,SBI Small Cap Fund - Direct Plan - Growth
120503,0.1758,0.1388,0.798,ICICI Pru Bluechip Fund - Regular - Growth
120504,0.2124,0.1436,1.0265,ICICI Pru Bluechip Fund - Direct - Growth
120505,0.2927,0.1929,1.1801,ICICI Pru Midcap Fund - Regular - Growth
120506,0.1638,0.1523,0.6489,ICICI Pru Value Discovery Fund - Regular - Growth
120507,0.0674,0.0049,0.4957,ICICI Pru Liquid Fund - Regular - Growth
120841,0.1315,0.1346,0.4943,Kotak Bluechip Fund - Regular - Growth
120842,0.0786,0.1789,0.076,Kotak Emerging Equity Fund - Regular - Growth
120843,0.2726,0.1589,1.3067,Kotak Flexicap Fund - Regular - Growth
120844,0.0645,0.0051,-0.0887,Kotak Liquid Fund - Regular - Growth
125497,0.1788,0.1467,0.7758,HDFC Top 100 Fund - Direct Plan - Growth
125498,0.1202,0.1835,0.3006,HDFC Mid-Cap Opportunities Fund - Direct - Growth
148567,0.2706,0.1419,1.4483,Mirae Asset Large Cap Fund - Regular - Growth
148568,0.2079,0.1543,0.9263,Mirae Asset Emerging Bluechip Fund - Regular - Growth
148569,0.2833,0.1767,1.2349,Mirae Asset Tax Saver Fund - Regular - Growth
149322,0.1316,0.1435,0.464,DSP Top 100 Equity Fund - Regular - Growth
149323,0.2659,0.1775,1.1321,DSP Midcap Fund - Regular - Growth
149324,0.3009,0.2484,0.9498,DSP Small Cap Fund - Regular - Growth
